# Energy [keV], Spectrum [ph/cm^2/s/keV]
500.000,6.295e-05
509.000,6.100e-05
518.162,5.912e-05
527.489,5.724e-05
536.984,5.536e-05
546.649,5.351e-05
556.489,5.173e-05
566.506,5.007e-05
576.703,4.852e-05
587.084,4.701e-05
597.651,4.550e-05
608.409,4.399e-05
619.360,4.252e-05
630.509,4.113e-05
641.858,3.985e-05
653.411,3.862e-05
665.173,3.743e-05
677.146,3.623e-05
689.334,3.504e-05
701.743,3.389e-05
714.374,3.279e-05
727.233,3.178e-05
740.323,3.081e-05
753.649,2.985e-05
767.214,2.890e-05
781.024,2.795e-05
795.083,2.703e-05
809.394,2.617e-05
823.963,2.536e-05
838.794,2.459e-05
853.893,2.382e-05
869.263,2.305e-05
884.910,2.229e-05
900.838,2.156e-05
917.053,2.089e-05
933.560,2.025e-05
950.364,1.963e-05
967.471,1.902e-05
984.885,1.840e-05
1002.613,1.781e-05
1020.660,1.724e-05
1039.032,1.671e-05
1057.735,1.621e-05
1076.774,1.572e-05
1096.156,1.523e-05
1115.886,1.474e-05
1135.972,1.426e-05
1156.420,1.381e-05
1177.235,1.338e-05
1198.426,1.298e-05
1219.997,1.258e-05
1241.957,1.218e-05
1264.313,1.179e-05
1287.070,1.141e-05
1310.237,1.105e-05
1333.822,1.072e-05
1357.831,1.039e-05
1382.271,1.008e-05
1407.152,9.761e-06
1432.481,9.451e-06
1458.266,9.154e-06
1484.515,8.871e-06
1511.236,8.605e-06
1538.438,8.347e-06
1566.130,8.093e-06
1594.320,7.840e-06
1623.018,7.590e-06
1652.232,7.349e-06
1681.973,7.124e-06
1712.248,6.910e-06
1743.069,6.702e-06
1774.444,6.494e-06
1806.384,6.289e-06
1838.899,6.089e-06
1871.999,5.900e-06
1905.695,5.721e-06
1939.997,5.550e-06
1974.917,5.383e-06
2010.466,5.217e-06
2046.654,5.053e-06
2083.494,4.895e-06
2120.997,4.744e-06
2159.175,4.602e-06
2198.040,4.466e-06
2237.605,4.332e-06
2277.882,4.199e-06
2318.883,4.068e-06
2360.623,3.941e-06
2403.115,3.820e-06
2446.371,3.705e-06
2490.405,3.593e-06
2535.233,3.484e-06
2580.867,3.375e-06
2627.322,3.268e-06
2674.614,3.166e-06
2722.757,3.070e-06
2771.767,2.978e-06
2821.659,2.890e-06
2872.448,2.802e-06
2924.153,2.714e-06
2976.787,2.630e-06
3030.369,2.550e-06
3084.916,2.473e-06
3140.445,2.400e-06
3196.973,2.328e-06
3254.518,2.257e-06
3313.099,2.187e-06
3372.735,2.119e-06
3433.444,2.053e-06
3495.246,1.991e-06
3558.161,1.931e-06
3622.208,1.873e-06
3687.408,1.814e-06
3753.781,1.757e-06
3821.349,1.702e-06
3890.133,1.651e-06
3960.156,1.601e-06
4031.438,1.553e-06
4104.004,1.506e-06
4177.876,1.459e-06
4253.078,1.414e-06
4329.634,1.370e-06
4407.567,1.328e-06
4486.903,1.288e-06
4567.667,1.250e-06
4649.885,1.212e-06
4733.583,1.174e-06
4818.788,1.138e-06
4905.526,1.102e-06
4993.826,1.068e-06
5083.714,1.036e-06
5175.221,1.004e-06
5268.375,9.730e-07
5363.206,9.424e-07
5459.744,9.127e-07
5558.019,8.845e-07
5658.063,8.574e-07
5759.909,8.314e-07
5863.587,8.060e-07
5969.131,7.809e-07
6076.576,7.562e-07
6185.954,7.327e-07
6297.301,7.101e-07
6410.653,6.885e-07
6526.045,6.676e-07
6643.513,6.471e-07
6763.097,6.268e-07
6884.832,6.070e-07
7008.759,5.880e-07
7134.917,5.697e-07
7263.346,5.521e-07
7394.086,5.350e-07
7527.179,5.182e-07
7662.669,5.017e-07
7800.597,4.856e-07
7941.007,4.703e-07
8083.945,4.556e-07
8229.456,4.416e-07
8377.587,4.279e-07
8528.383,4.144e-07
8681.894,4.011e-07
8838.168,3.883e-07
8997.255,3.762e-07
9159.206,3.645e-07
9324.072,3.532e-07
9491.905,3.421e-07
9662.759,3.313e-07
9836.689,3.207e-07
10013.749,3.104e-07
10193.997,3.005e-07
10377.489,2.910e-07
10564.283,2.819e-07
10754.440,2.729e-07
10948.020,2.640e-07
11145.085,2.554e-07
11345.696,2.471e-07
11549.919,2.393e-07
11757.817,2.317e-07
11969.458,2.244e-07
12184.908,2.171e-07
12404.237,2.100e-07
12627.513,2.032e-07
12854.808,1.967e-07
13086.195,1.904e-07
13321.746,1.844e-07
13561.538,1.785e-07
13805.645,1.727e-07
14054.147,1.671e-07
14307.122,1.616e-07
14564.650,1.563e-07
14826.813,1.513e-07
15093.696,1.464e-07
15365.383,1.416e-07
15641.960,1.369e-07
15923.515,1.323e-07
16210.138,1.280e-07
16501.921,1.238e-07
16798.955,1.198e-07
17101.336,1.158e-07
17409.160,1.120e-07
17722.525,1.083e-07
18041.531,1.047e-07
18366.278,1.012e-07
18696.871,9.791e-08
19033.415,9.469e-08
19376.016,9.159e-08
19724.785,8.855e-08
20079.831,8.558e-08
20441.268,8.270e-08
20809.211,7.994e-08
21183.776,7.729e-08
21565.084,7.472e-08
21953.256,7.221e-08
22348.415,6.974e-08
22750.686,6.737e-08
23160.198,6.509e-08
23577.082,6.290e-08
24001.469,6.079e-08
24433.496,5.874e-08
24873.299,5.675e-08
25321.018,5.482e-08
25776.796,5.294e-08
26240.779,5.113e-08
26713.113,4.940e-08
27193.949,4.774e-08
27683.440,4.612e-08
28181.742,4.455e-08
28689.013,4.300e-08
29205.415,4.152e-08
29731.113,4.011e-08
30266.273,3.873e-08
